parameter,workbook_cell,value,unit,type,source,locator,transformation_or_note
"Annual VKT, motorcycle/tricycle class",Assumptions!B6,"16,296",km/yr,derived,Cervigni et al. (2013),Table 21.5,"0.5 x 7,659 (private) + 0.5 x 24,933 (commercial tricycle); weights = home-charge share"
"Annual VKT, Private car",Assumptions!B7,32500,km/yr,literature value (located),Cervigni et al. (2013),Table 21.5,use-weighted average of survey categories (Section 3.3); rounded
"Annual VKT, LCV",Assumptions!B8,20600,km/yr,literature value (located),Cervigni et al. (2013),Table 21.5,use-weighted average of survey categories (Section 3.3); rounded
"Annual VKT, HGV",Assumptions!B9,33700,km/yr,literature value (located),Cervigni et al. (2013),Table 21.5,use-weighted average of survey categories (Section 3.3); rounded
"Annual VKT, Light bus",Assumptions!B10,21400,km/yr,literature value (located),Cervigni et al. (2013),Table 21.5,use-weighted average of survey categories (Section 3.3); rounded
"Annual VKT, Coach",Assumptions!B11,33200,km/yr,literature value (located),Cervigni et al. (2013),Table 21.5,use-weighted average of survey categories (Section 3.3); rounded
"Battery-side energy intensity, Motorcycle",Assumptions!C6,0.03,kWh/km,author assumption informed by literature (exact value not located in source),IEA (2024); ICCT (2024); Yuksel and Michalek (2015); Lajunen and Tammi (2017); Xu et al. (2023),not located to a table,global benchmark with warm-climate adjustment; author judgement
"Battery-side energy intensity, Private car",Assumptions!C7,0.17,kWh/km,author assumption informed by literature (exact value not located in source),IEA (2024); ICCT (2024); Yuksel and Michalek (2015); Lajunen and Tammi (2017); Xu et al. (2023),not located to a table,global benchmark with warm-climate adjustment; author judgement
"Battery-side energy intensity, LCV",Assumptions!C8,0.22,kWh/km,author assumption informed by literature (exact value not located in source),IEA (2024); ICCT (2024); Yuksel and Michalek (2015); Lajunen and Tammi (2017); Xu et al. (2023),not located to a table,global benchmark with warm-climate adjustment; author judgement
"Battery-side energy intensity, HGV",Assumptions!C9,1.3,kWh/km,author assumption informed by literature (exact value not located in source),IEA (2024); ICCT (2024); Yuksel and Michalek (2015); Lajunen and Tammi (2017); Xu et al. (2023),not located to a table,global benchmark with warm-climate adjustment; author judgement
"Battery-side energy intensity, Light bus",Assumptions!C10,0.7,kWh/km,author assumption informed by literature (exact value not located in source),IEA (2024); ICCT (2024); Yuksel and Michalek (2015); Lajunen and Tammi (2017); Xu et al. (2023),not located to a table,global benchmark with warm-climate adjustment; author judgement
"Battery-side energy intensity, Coach",Assumptions!C11,1.5,kWh/km,author assumption informed by literature (exact value not located in source),IEA (2024); ICCT (2024); Yuksel and Michalek (2015); Lajunen and Tammi (2017); Xu et al. (2023),not located to a table,global benchmark with warm-climate adjustment; author judgement
"Home-charge share, Motorcycle",Assumptions!D6,0.5,share,author assumption,Author (housing typology); no Nigerian survey located,n/a,varied +/-50% in Section 4
"Home-charge share, Private car",Assumptions!D7,0.4,share,author assumption,Author (housing typology); no Nigerian survey located,n/a,varied +/-50% in Section 4
"Home-charge share, LCV",Assumptions!D8,0.3,share,author assumption,Author (housing typology); no Nigerian survey located,n/a,varied +/-50% in Section 4
"Home-charge share, HGV",Assumptions!D9,0,share,author assumption informed by literature (exact value not located in source),Author; IEA (2024) for depot-only heavy-duty charging,n/a,varied +/-50% in Section 4
