year,gdp_pc_used_R1_R2,population_M_used_R1_R2,provenance_status
2010,4628,158.7,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2011,4856,163.2,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2012,4940,167.7,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2013,5072,172.4,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2014,5238,177.2,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2015,5286,182.2,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2016,5083,187.2,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2017,5050,192.3,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2018,5097,197.4,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2019,5180,202.6,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2020,4937,207.9,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2021,5103,213.4,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2022,5253,218.5,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2023,5391,223.8,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2024,5665,229.2,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
